,name,mana_cost,cmc,oracle_text,power,toughness,prices,set
6795,"Reki, the History of Kamigawa",{2}{G},3.0,Whenever you cast a legendary spell  draw a card.,1,2,11.32,sok
6796,Stensia Innkeeper,{3}{R},4.0,When This Card enters the battlefield  tap target land an opponent controls. That land doesn't untap during its controller's next untap step.,3,3,0.04,emn
6797,Siege Wurm,{5}{G}{G},7.0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Trample,5,5,0.07,grn
6798,Lightfoot Rogue,{1}{B},2.0,Sneak Attack — Whenever This Card attacks  roll a d20. 1—9 | This Card gains deathtouch until end of turn. 10—19 | It gets +1/+0 and gains deathtouch until end of turn. 20 | It gets +3/+0 and gains first strike and deathtouch until end of turn.,2,1,0.06,afr
6799,Alabaster Leech,{W},1.0,White spells you cast cost {W} more to cast.,1,3,0.27,inv
6800,Doorkeeper,{1}{U},2.0,Defender {2}{U}  {T}: Target player mills X cards  where X is the number of creatures you control with defender.,0,4,0.08,ima
6801,Daxos the Returned,{1}{W}{B},3.0,"Whenever you cast an enchantment spell  you get an experience counter. {1}{W}{B}: Create a white and black Spirit enchantment creature token. It has ""This creature's power and toughness are each equal to the number of experience counters you have.""",2,2,3.09,c15
6802,Kitesail Freebooter,{1}{B},2.0,Flying When This Card enters the battlefield  target opponent reveals their hand. You choose a noncreature  nonland card from it. Exile that card until This Card leaves the battlefield.,1,2,0.18,m21
6803,Scion of the Wild,{1}{G}{G},3.0,This Card's power and toughness are each equal to the number of creatures you control.,*,*,0.10,mm2
6804,Aether Chaser,{1}{R},2.0,First strike When This Card enters the battlefield  you get {E}{E} (two energy counters). Whenever This Card attacks  you may pay {E}{E}. If you do  create a 1/1 colorless Servo artifact creature token.,2,1,0.04,aer
6805,Chieftain en-Dal,{1}{W}{W},3.0,Whenever This Card attacks  attacking creatures gain first strike until end of turn.,2,2,0.22,nem
6806,Shipwreck Singer,{U}{B},2.0,Flying {1}{U}: Target creature an opponent controls attacks this turn if able. {1}{B}  {T}: Attacking creatures get -1/-1 until end of turn.,1,2,0.08,cn2
6807,Magus of the Tabernacle,{3}{W},4.0,"All creatures have ""At the beginning of your upkeep  sacrifice this creature unless you pay {1}.""",2,6,1.53,plc
6808,Ornery Kudu,{2}{G},3.0,When This Card enters the battlefield  put a -1/-1 counter on target creature you control.,3,4,0.01,akh
6809,Thrasher Brute,{3}{B},4.0,Whenever This Card or another Warrior enters the battlefield under your team's control  target opponent loses 1 life and you gain 1 life.,4,3,0.18,bbd
6810,Nightveil Sprite,{1}{U},2.0,Flying Whenever This Card attacks  surveil 1. (Look at the top card of your library. You may put that card into your graveyard.),1,2,0.09,znc
6811,Walking Bulwark,{1},1.0,Defender {2}: Until end of turn  target creature with defender gains haste  can attack as though it didn't have defender  and assigns combat damage equal to its toughness rather than its power. Activate only as a sorcery.,0,3,0.07,dmu
6812,Chakram Retriever,{4}{U},5.0,Partner with Chakram Slinger (When this creature enters the battlefield  target player may put Chakram Slinger into their hand from their library  then shuffle.) Whenever you cast a spell during your turn  untap target creature.,2,4,0.52,bbd
6813,"Urza, Powerstone Prodigy",{2}{U},3.0,"Vigilance {1}  {T}: Draw a card  then discard a card. Whenever you discard one or more artifact cards  create a tapped Powerstone token. This ability triggers only once each turn. (The token is an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",1,3,0.63,bro
6814,Yuan Shao's Infantry,{3}{R},4.0,Whenever This Card attacks alone  This Card can't be blocked this combat.,2,2,13.98,ptk
6815,Lotus Cobra,{1}{G},2.0,Landfall — Whenever a land enters the battlefield under your control  add one mana of any color.,2,1,2.75,znr
6816,Celestial Force,{5}{W}{W}{W},8.0,At the beginning of each upkeep  you gain 3 life.,7,7,0.87,cmd
6817,Kor Outfitter,{W}{W},2.0,When This Card enters the battlefield  you may attach target Equipment you control to target creature you control.,2,2,0.10,zen
6818,Riptide Crab,{1}{W}{U},3.0,Vigilance When This Card dies  draw a card.,1,3,0.05,bbd
6819,"Masumaro, First to Live",{3}{G}{G}{G},6.0,This Card's power and toughness are each equal to twice the number of cards in your hand.,*,*,0.89,sok
6820,Merfolk Traders,{1}{U},2.0,When This Card enters the battlefield  draw a card  then discard a card.,1,2,0.15,wth
6821,Ruin Crab,{U},1.0,Landfall — Whenever a land enters the battlefield under your control  each opponent mills three cards. (To mill a card  a player puts the top card of their library into their graveyard.),0,3,1.38,znr
6822,Orchard Warden,{4}{G}{G},6.0,Whenever another Treefolk creature enters the battlefield under your control  you may gain life equal to that creature's toughness.,4,6,0.24,mor
6823,Goblin Instigator,{1}{R},2.0,When This Card enters the battlefield  create a 1/1 red Goblin creature token.,1,1,0.49,jmp
6824,Fairgrounds Patrol,{1}{W},2.0,{1}{W}  Exile This Card from your graveyard: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only as a sorcery.,2,1,0.01,mh2
6825,Krazy Kow,{3}{R},4.0,At the beginning of your upkeep  roll a six-sided die. If you a roll a 1  sacrifice This Card and it deals 3 damage to each creature and each player.,3,3,0.24,ugl
6826,"Meet and Greet ""Sisay""",{R}{G},2.0,Whenever you cast a spell  choose one — • Flavor — This Card gets +1/+1 until end of turn for each line of flavor text that spell has. • History — Create a Treasure token if that spell doesn't share an expansion symbol with a permanent you control or a card in your graveyard.,1,1,0.08,unf
6827,Treeshaker Chimera,{5}{G}{G},7.0,All creatures able to block This Card do so. When This Card dies  draw three cards.,8,5,0.19,ncc
6828,Leonin Warleader,{2}{W}{W},4.0,Whenever This Card attacks  create two 1/1 white Cat creature tokens with lifelink that are tapped and attacking.,4,4,5.33,m19
6829,Croakid Amphibonaut,{4}{U},5.0,This Card has flying as long as you control a stickered permanent.,4,3,0.06,unf
6830,Chittering Witch,{3}{B},4.0,When This Card enters the battlefield  create a number of 1/1 black Rat creature tokens equal to the number of opponents you have. {1}{B}  Sacrifice a creature: Target creature gets -2/-2 until end of turn.,2,2,0.22,afc
6831,Angel of the Dire Hour,{5}{W}{W},7.0,Flash Flying When This Card enters the battlefield  if you cast it from your hand  exile all attacking creatures.,5,4,0.82,jmp
6832,Indulgent Tormentor,{3}{B}{B},5.0,Flying At the beginning of your upkeep  draw a card unless target opponent sacrifices a creature or pays 3 life.,5,3,0.48,ima
6833,Canopy Tactician,{3}{G},4.0,Other Elves you control get +1/+1. {T}: Add {G}{G}{G}.,3,3,0.87,khm
6834,"Kogla, the Titan Ape",{3}{G}{G}{G},6.0,When This Card enters the battlefield  it fights up to one target creature you don't control. Whenever Kogla attacks  destroy target artifact or enchantment defending player controls. {1}{G}: Return target Human you control to its owner's hand. Kogla gains indestructible until end of turn.,7,6,0.65,iko
6835,"Kamahl, Fist of Krosa",{4}{G}{G},6.0,{G}: Target land becomes a 1/1 creature until end of turn. It's still a land. {2}{G}{G}{G}: Creatures you control get +3/+3 and gain trample until end of turn.,4,3,5.81,arc
6836,Soldier of Fortune,{R},1.0,{R}  {T}: Target player shuffles their library.,1,1,0.25,all
6837,"Atris, Oracle of Half-Truths",{2}{U}{B},4.0,Menace When This Card enters the battlefield  target opponent looks at the top three cards of your library and separates them into a face-down pile and a face-up pile. Put one pile into your hand and the other into your graveyard.,3,2,0.15,thb
6838,Horror,_,0.0,Flying,1,1,0.09,tgtc
6839,Sunblast Angel,{4}{W}{W},6.0,Flying When This Card enters the battlefield  destroy all tapped creatures.,4,5,0.20,afc
6840,Somberwald Spider,{4}{G},5.0,Reach (This creature can block creatures with flying.) Morbid — This Card enters the battlefield with two +1/+1 counters on it if a creature died this turn.,2,4,0.08,isd
6841,Merchant Raiders,{3}{U},4.0,Whenever This Card or another Pirate enters the battlefield under your control  tap up to one target creature. That creature doesn't untap during its controller's untap step for as long as you control This Card.,2,4,0.14,cmr
6842,Shinewend,{1}{W},2.0,Flying This Card enters the battlefield with a +1/+1 counter on it. {1}{W}  Remove a +1/+1 counter from This Card: Destroy target enchantment.,0,0,0.15,mor
6843,Ruination Rioter,{R}{G},2.0,When This Card dies  you may have it deal damage to any target equal to the number of land cards in your graveyard.,2,2,0.06,mh1
6844,Nessian Asp,{4}{G},5.0,Reach {6}{G}: Monstrosity 4. (If this creature isn't monstrous  put four +1/+1 counters on it and it becomes monstrous.),4,5,0.10,cn2
6845,Sutured Ghoul,{4}{B}{B}{B},7.0,Trample As This Card enters the battlefield  exile any number of creature cards from your graveyard. This Card's power is equal to the total power of the exiled cards and its toughness is equal to their total toughness.,*,*,0.16,m12
6846,Ticking Mime Bomb,{3}{R},4.0,When This Card enters the battlefield  without speaking or indicating any specific creature  pantomime to a person outside the game  then they choose a creature you don't control. This Card deals damage equal to twice the number of Robots you control to the chosen creature.,2,2,0.10,unf
6847,Young Wolf,{G},1.0,Undying (When this creature dies  if it had no +1/+1 counters on it  return it to the battlefield under its owner's control with a +1/+1 counter on it.),1,1,0.51,dka
6848,Cognivore,{6}{U}{U},8.0,Flying This Card's power and toughness are each equal to the number of instant cards in all graveyards.,*,*,0.24,ody
6849,Torii Watchward,{4}{W},5.0,Vigilance (Attacking doesn't cause this creature to tap.) Soulshift 4 (When this creature dies  you may return target Spirit card with mana value 4 or less from your graveyard to your hand.),3,3,0.09,sok
6850,Copper Myr,{2},2.0,{T}: Add {G}.,1,1,0.18,som
6851,Warkite Marauder,{1}{U},2.0,Flying Whenever This Card attacks  target creature defending player controls loses all abilities and has base power and toughness 0/1 until end of turn.,2,1,1.07,rix
6852,Giant Albatross,{1}{U},2.0,Flying When This Card dies  you may pay {1}{U}. If you do  for each creature that dealt damage to This Card this turn  destroy that creature unless its controller pays 2 life. A creature destroyed this way can't be regenerated.,1,1,0.13,hml
6853,Will-o'-the-Wisp,{B},1.0,Flying (This creature can't be blocked except by creatures with flying or reach.) {B}: Regenerate This Card. (The next time this creature would be destroyed this turn  it isn't. Instead tap it  remove all damage from it  and remove it from combat.),0,1,0.24,a25
6854,Nyxbloom Ancient,{4}{G}{G}{G},7.0,Trample If you tap a permanent for mana  it produces three times as much of that mana instead.,5,5,18.15,thb
6855,Makeshift Battalion,{2}{W},3.0,Whenever This Card and at least two other creatures attack  put a +1/+1 counter on This Card.,3,2,0.03,m21
6856,Simic Guildmage,{G/U}{G/U},2.0,({G/U} can be paid with either {G} or {U}.) {1}{G}: Move a +1/+1 counter from target creature onto another target creature with the same controller. {1}{U}: Attach target Aura attached to a permanent to another permanent with the same controller.,2,2,0.25,dis
6857,Rocket-Powered Turbo Slug,{3}{R},4.0,Super haste (This may attack the turn before you cast it. (You may put this card from your hand onto the battlefield tapped and attacking during your declare attackers step. If you do  you lose the game at the beginning of your next turn's end step unless you pay this card's mana cost during that turn.)),3,1,0.46,unh
6858,Kuro's Taken,{1}{B},2.0,Bushido 1 (Whenever this creature blocks or becomes blocked  it gets +1/+1 until end of turn.) {1}{B}: Regenerate This Card.,1,1,0.23,sok
6859,Foundation Breaker,{3}{G},4.0,When This Card enters the battlefield  you may destroy target artifact or enchantment. Evoke {1}{G} (You may cast this spell for its evoke cost. If you do  it's sacrificed when it enters the battlefield.),2,2,0.43,mh2
6860,Tajuru Warcaller,{3}{G}{G},5.0,Rally — Whenever This Card or another Ally enters the battlefield under your control  creatures you control get +2/+2 until end of turn.,2,1,0.07,bfz
6861,Orcish Settlers,{1}{R},2.0,{X}{X}{R}  {T}  Sacrifice This Card: Destroy X target lands.,1,1,0.66,wth
6862,Abzan Falconer,{2}{W},3.0,Outlast {W} ({W}  {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) Each creature you control with a +1/+1 counter on it has flying.,2,3,0.09,2x2
6863,Femeref Enchantress,{G}{W},2.0,Whenever an enchantment is put into a graveyard from the battlefield  draw a card.,1,2,14.93,vis
6864,Ascendant Acolyte,{4}{G},5.0,This Card enters the battlefield with a +1/+1 counter on it for each +1/+1 counter among other creatures you control. At the beginning of your upkeep  double the number of +1/+1 counters on This Card.,1,1,0.20,nec
6865,Skirk Marauder,{1}{R},2.0,Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When This Card is turned face up  it deals 2 damage to any target.,2,1,0.24,arc
6866,Fa'adiyah Seer,{1}{G},2.0,{T}: Draw a card and reveal it. If it isn't a land card  discard it.,1,1,0.03,jmp
6867,Author of Shadows,{4}{B},5.0,When This Card enters the battlefield  exile all opponents' graveyards. Choose a nonland card exiled this way. You may cast that card for as long as it remains exiled  and you may spend mana as though it were mana of any color to cast that spell.,3,3,0.31,c21
